Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.150782, 0.021889, 0.117330, 0.168294, 0.041085, 0.140932
Thread1, 0.154057, 0.016994, 0.135984, 0.175922, 0.039008, 0.144799
Thread2, 0.154879, 0.031050, 0.130993, 0.164943, 0.028992, 0.129999
Thread3, 0.092058, 0.032819, 0.046999, 0.096427, 0.029988, 0.056004
Thread4, 0.136978, 0.028934, 0.114972, 0.151944, 0.032929, 0.121078
Thread5, 0.158477, 0.023025, 0.138866, 0.180704, 0.059090, 0.131106
Thread6, 0.160224, 0.026019, 0.133685, 0.169263, 0.029154, 0.139906
Thread7, 0.158970, 0.026120, 0.134398, 0.175139, 0.040934, 0.117154
Thread8, 0.161815, 0.044101, 0.131535, 0.177663, 0.050699, 0.143298
Thread9, 0.159861, 0.026189, 0.125186, 0.171406, 0.044946, 0.135038
Thread10, 0.161793, 0.024638, 0.139688, 0.179303, 0.046019, 0.161978
Thread11, 0.160969, 0.030169, 0.138407, 0.181913, 0.049518, 0.138404
Thread12, 0.146844, 0.017999, 0.125147, 0.162417, 0.034960, 0.113018
Thread13, 0.085149, 0.026729, 0.057268, 0.088904, 0.029028, 0.066967
Thread14, 0.158145, 0.018152, 0.129899, 0.174048, 0.036977, 0.130033
Thread15, 0.161297, 0.021000, 0.127976, 0.172587, 0.047291, 0.112759
Thread16, 0.156388, 0.032986, 0.121277, 0.170885, 0.050887, 0.141032
Thread17, 0.161257, 0.033006, 0.123212, 0.171618, 0.027873, 0.136886
Thread18, 0.155777, 0.024018, 0.130311, 0.168041, 0.037594, 0.133164
Thread19, 0.161273, 0.025058, 0.144454, 0.172698, 0.037989, 0.134930
Thread20, 0.151894, 0.027872, 0.118729, 0.170574, 0.040987, 0.126012
Thread21, 0.159526, 0.020011, 0.127917, 0.177252, 0.038124, 0.139851
Thread22, 0.159472, 0.028912, 0.122823, 0.180911, 0.046854, 0.123155
Thread23, 0.159568, 0.017100, 0.124723, 0.188161, 0.064636, 0.130563
Thread24, 0.089008, 0.028915, 0.073076, 0.093471, 0.028874, 0.058120
